MarmID1	MarmID2	Kinship	InfType
CJ192	CJ129	0.0314	3rd
CJ192	CJ193	0.0721	2nd
CJ192	CJ126	0.0284	3rd
CJ192	CJ119	0.0351	3rd
CJ192	CJ120	0.0573	3rd
CJ192	CJ132	0.0232	4th
CJ192	CJ114	0.0537	3rd
CJ192	CJ115	0.0561	3rd
CJ192	CJ025	0.0551	2nd
CJ129	CJ193	0.0341	3rd
CJ129	CJ126	0.074	2nd
CJ129	CJ119	0.035	3rd
CJ129	CJ120	0.0572	3rd
CJ129	CJ132	0.0819	2nd
CJ129	CJ158	0.0234	4th
CJ129	CJ283	0.0421	3rd
CJ129	CJ114	0.1819	2nd
CJ129	CJ115	0.1798	2nd
CJ193	CJ126	0.0302	3rd
CJ193	CJ114	0.1001	2nd
CJ193	CJ115	0.1187	2nd
CJ193	CJ025	0.0542	2nd
CJ126	CJ119	0.033	3rd
CJ126	CJ120	0.0486	3rd
CJ126	CJ132	0.0927	2nd
CJ126	CJ114	0.0428	3rd
CJ126	CJ115	0.0463	3rd
CJ126	CJ025	0.0336	3rd
CJ119	CJ120	0.2949	FS
CJ119	CJ158	0.0223	4th
CJ119	CJ115	0.0295	4th
CJ119	CJ025	0.0286	3rd
CJ120	CJ132	0.0274	4th
CJ120	CJ114	0.0409	4th
CJ120	CJ115	0.0542	3rd
CJ120	CJ025	0.0223	3rd
CJ132	CJ133	0.2833	PO
CJ132	CJ158	0.0589	3rd
CJ132	CJ217	0.096	2nd
CJ132	CJ283	0.1695	2nd
CJ132	CJ163	0.0986	2nd
CJ132	CJ208	0.0903	2nd
CJ132	CJ156	0.1058	2nd
CJ132	CJ251	0.1297	2nd
CJ132	CJ135	0.2558	PO
CJ132	CJ136	0.2469	PO
CJ132	CJ134	0.2842	PO
CJ132	CJ206	0.0999	2nd
CJ132	CJ185	0.0773	2nd
CJ132	CJ138	0.0398	3rd
CJ132	CJ114	0.0907	2nd
CJ132	CJ115	0.117	2nd
CJ133	CJ158	0.0441	3rd
CJ133	CJ278	0.0236	2nd
CJ133	CJ217	0.0292	2nd
CJ133	CJ283	0.1244	2nd
CJ133	CJ163	0.0682	2nd
CJ133	CJ208	0.0405	2nd
CJ133	CJ156	0.0586	2nd
CJ133	CJ251	0.0893	2nd
CJ133	CJ135	0.2217	FS
CJ133	CJ136	0.2444	FS
CJ133	CJ134	0.2574	FS
CJ133	CJ206	0.1044	2nd
CJ133	CJ185	0.051	2nd
CJ133	CJ138	0.0346	3rd
CJ133	CJ115	0.0324	3rd
CJ158	CJ217	0.2234	PO
CJ158	CJ283	0.2652	PO
CJ158	CJ163	0.2559	PO
CJ158	CJ208	0.2497	PO
CJ158	CJ156	0.2502	PO
CJ158	CJ251	0.257	PO
CJ158	CJ135	0.0649	2nd
CJ158	CJ136	0.0801	2nd
CJ158	CJ134	0.0791	2nd
CJ158	CJ206	0.2194	PO
CJ158	CJ185	0.2271	PO
CJ158	CJ138	0.0674	3rd
CJ158	CJ114	0.1065	2nd
CJ158	CJ115	0.1029	2nd
