MarmID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
CJ192	0.0845673	-0.0707135	-0.00515016	0.0799213	-0.0163629	0.0525923	0.0100475	-0.0787552	-0.00298943	0.0277944	0.0268576	-0.079677	0.00236285	-0.0951156	0.0854147	-0.0487145	0.0373395	-0.0477181	0.072385	-0.0106173	0.0307048	-0.0185634	0.099351	-0.0057184	0.0782496	-0.0434611	0.284052	-0.169662	-0.0503077	-0.0301681	-0.108873	0.10066	-0.131652	0.0567235	0.0733483	0.046377	-0.0507531	-0.0812043	-0.0601523	0.0914061	0.0877171	0.0208288	-0.0271857	0.0393965	0.0301036	0.02056	0.00953289	0.11825	-0.0869692	0.0147736	-0.0922043	0.00406418	0.0230981	0.0261664	-0.0244254	-0.212146	-0.0767127	0.028769	0.0957494	0.0650841
CJ129	0.0963553	0.0127728	0.202132	-0.138382	0.0941224	0.0579682	0.0503034	0.0412117	-0.00681312	-0.0214084	-0.188201	0.00710705	0.0161528	0.0670075	-0.0633288	0.0264356	-0.0524808	0.0691013	-0.0749736	0.0631307	-0.0895463	0.00541464	-0.0168102	-0.0477634	-0.0107873	-0.0546775	0.0221535	0.0753107	-0.00979864	0.145705	0.0642895	-0.0536153	0.00624109	-0.092912	0.0296602	-0.0120085	0.00649356	0.127667	-0.068901	0.0300465	0.0599013	-0.0675373	0.0200473	-0.079294	0.0281258	0.11905	0.0858021	0.038404	-0.0780928	0.0295063	-0.0697388	0.0477587	-0.0128032	-0.00686747	0.0190351	-0.0598926	-0.0440888	-0.0666375	-0.0657532	-0.0319503
CJ193	0.120253	-0.0538347	0.226927	0.0306697	-0.0321657	-0.0129847	-0.0283706	0.0301481	-0.072494	0.08647	0.0831304	-0.0398462	-0.026619	0.108992	-0.0816998	0.153903	0.0615136	-0.0955263	-0.0227196	0.000445778	0.0112884	-0.0205502	0.112542	0.00959722	0.00356829	0.106186	0.0629323	-0.156077	-0.0217497	-0.0865997	-0.10588	0.128895	-0.0372333	0.127114	-0.0443337	0.0203429	-0.00812251	-0.100731	0.0380193	0.0333489	-0.00721402	0.122599	-0.117961	0.0548679	-0.0503799	-0.0220275	-0.110814	0.0330138	-0.0171805	0.0512441	-0.0315418	0.0243768	-0.0010414	-0.0147614	-0.022846	0.17684	0.110529	0.0620541	0.0442829	-0.0146594
CJ126	0.102285	-0.0153939	-0.0894397	-0.202505	0.149276	0.0523777	0.0597809	0.142313	0.0129914	-0.021806	0.148331	-0.0393786	-0.041134	0.0723856	0.127711	-0.0504028	0.0299915	-0.0147266	0.0586611	-0.0246417	0.0154802	0.00127115	0.0228246	0.00536289	-0.0171844	0.0384618	-0.0435299	-0.00930632	0.0179251	-0.0103666	0.0214511	-0.033985	0.00375116	-0.0126992	0.0008444	-0.0340165	0.0112592	-0.0470607	0.014748	-0.0290694	-0.0117563	0.0179601	-0.000995794	0.0906434	-0.0179131	-0.023919	0.00342883	0.0110952	0.0191275	-0.0211536	-0.0613251	-0.0211164	-0.0123893	-0.036294	0.011335	-0.0384733	-0.0762526	0.0432344	0.059634	-0.00246253
CJ119	0.075573	-0.0464715	-0.0616757	-0.000968888	0.0141257	-0.042743	-0.00782557	0.150512	-0.0477914	0.0522698	0.0855445	0.0955346	0.0679988	-0.405941	-0.103242	0.17874	-0.0254783	0.0588083	-0.0986246	0.141041	-0.148186	0.0010173	0.0309478	-0.0259295	0.0472908	-0.0445471	0.026392	0.0754789	-0.0179577	-0.00394019	-0.0157897	-0.00834686	0.00177302	0.0208939	0.00112641	0.0312877	0.00838889	-0.00545792	0.0167698	0.00130768	-0.0157751	0.01377	-0.0241227	0.0261819	-0.0333563	-0.00769072	-0.00242377	-0.00601866	-0.00994831	0.0133081	-0.0302049	-0.00615488	-0.0239967	-0.0290803	0.00507141	0.0206941	-0.0216349	-0.0125037	0.00669207	-0.0227555
CJ120	0.0723315	-0.0443386	-0.053569	-0.0204821	0.0219325	-0.0359922	0.0125114	0.143428	-0.034367	0.0414947	0.0913713	0.0941033	0.0538985	-0.386139	-0.0752971	0.146326	-0.0203205	0.051751	-0.0646053	0.116605	-0.112035	0.0083594	0.00359957	-0.0321159	0.0401977	-0.064255	0.0528592	0.0588637	-0.0160015	0.0491417	-0.0028403	-0.0223964	0.0205749	0.00304439	-0.0399981	-0.000521894	0.0283594	0.0248658	0.0042006	-0.00635222	0.0286641	0.0154769	-0.0385278	0.00878042	0.00190947	0.0415371	-0.00427483	0.0439797	-0.0241469	0.00530839	-0.0541276	-0.00253296	-0.0133892	-0.0103866	0.01274	-0.00648562	-0.0402187	-0.0189799	0.00598431	0.00200609
CJ132	0.00953811	0.130141	-0.0743416	-0.109696	0.143183	0.0671508	0.0737797	-0.213424	-0.0852163	0.0590702	0.0131279	0.0356815	-0.00445304	0.0131231	-0.0178027	0.0746939	-0.0147291	-0.0637399	-0.0785448	0.0204198	-0.0164837	0.00945676	-0.0744457	-0.00818939	-0.0346114	-0.0774737	0.0517748	-0.0521864	-0.00677882	-0.0893227	-0.0481892	0.0527926	0.0344644	0.0171127	-0.0910527	-0.057909	0.0072215	0.140004	-0.0360861	0.0324308	0.0116367	0.000106591	0.0278489	0.00939815	-3.83897e-05	-0.0347944	0.0331854	-0.051135	0.0517796	0.0119595	0.0772251	-0.00466039	0.0267468	0.0546574	-0.0486622	-0.00176995	0.0313796	0.0213336	0.0480906	-0.00324473
CJ133	-0.022764	0.117855	-0.0531748	-0.0899424	0.111891	0.02716	0.0906501	-0.228712	-0.0839999	0.0428943	0.030909	0.0827126	0.0261574	-0.0126307	0.000840351	0.0570375	0.0110033	-0.0657339	-0.0957705	-0.00847214	0.00348588	0.00444579	-0.0217908	0.029099	-0.0465188	0.010888	-0.0202798	-0.0915719	-0.0170208	-0.0258183	-0.0717184	0.125778	0.0289153	0.0364763	-0.0919604	-0.0332363	-0.0348047	0.0783352	0.014188	0.0804776	-0.0281517	0.0256244	0.0701547	-0.0434919	-0.0511548	-0.104949	-0.0315307	-0.0431798	-0.0130925	-0.00449586	0.0404605	-0.104565	-0.0595195	-0.0150911	-0.00179529	0.0114601	-0.0347868	0.0665963	0.07428	-0.0187812
CJ158	0.0219576	0.192508	-0.0514911	0.10517	-0.107407	-0.0194029	-0.0446198	0.116887	0.015919	0.0427755	-0.0373337	-0.0456527	0.00070789	0.027464	-0.00932128	-0.0131543	0.0185679	0.0259437	0.0486013	-0.0029387	-0.0120404	-0.000610948	0.0526891	0.038043	0.00128464	0.10129	-0.102418	-0.0306682	0.0395573	0.0633835	0.113929	-0.066885	-0.031216	-0.0456742	0.110876	0.088771	-0.047	-0.110353	0.117943	-0.0335846	-0.128021	0.0411237	0.0788051	-0.120158	0.00158852	0.00989904	-0.0804888	0.13139	-0.199447	0.0350048	-0.123556	-0.0791183	-0.175801	-0.0605009	0.0534753	-0.00536029	-0.0518595	-0.0384251	0.021271	-0.0318682
CJ278	-0.0669767	0.0610538	0.0847663	-0.00693908	-0.00121668	-0.0874292	-0.00775495	-0.114244	0.0528856	-0.131612	0.10656	0.102126	0.053478	-0.149847	0.097981	-0.0841651	0.00367204	0.000594689	0.0576598	-0.0999214	0.126973	0.0123185	-0.0974889	0.0100599	-0.0399093	0.0127721	-0.125111	0.0668616	-0.00628325	0.112486	-0.0387061	0.0732204	0.0512004	0.140401	-0.0682738	0.0228394	-0.0820562	-0.0933784	-0.0277762	0.198411	0.139194	0.0508916	-0.0575767	0.0222479	-0.144898	0.0261286	0.0256619	0.085776	-0.156424	0.052359	-0.162164	0.017769	-0.0831709	-0.116717	-0.00585033	0.010301	0.0174466	0.11372	-0.0745132	-0.0535372
